Temp = 20 ◦ C, Humidity = 25 %, Pressure = 0 hPa.
Temp = 32 ◦ C, Humidity = 25 %, Pressure = 1058 hPa.
Temp = 25 ◦ C, Humidity = 52 %, Pressure = 1058 hPa.
Temp = 15 ◦ C, Humidity = 52 %, Pressure = 1058 hPa.
Temp = 23 ◦ C, Humidity = 75 %, Pressure = 1079 hPa.
Temp = 17 ◦ C, Humidity = 75 %, Pressure = 1079 hPa.
Temp = 23 ◦ C, Humidity = 49 %, Pressure = 1079 hPa.
Temp = 32 ◦ C, Humidity = 49 %, Pressure = 986 hPa.
Temp = 29 ◦ C, Humidity = 35 %, Pressure = 986 hPa.
Temp = 26 ◦ C, Humidity = 35 %, Pressure = 986 hPa.
Temp = 29 ◦ C, Humidity = 71 %, Pressure = 996 hPa.
Temp = 25 ◦ C, Humidity = 71 %, Pressure = 996 hPa.
Temp = 38 ◦ C, Humidity = 55 %, Pressure = 996 hPa.
Temp = 21 ◦ C, Humidity = 55 %, Pressure = 945 hPa.
Temp = 30 ◦ C, Humidity = 49 %, Pressure = 945 hPa.
Temp = 36 ◦ C, Humidity = 49 %, Pressure = 945 hPa.
Temp = 24 ◦ C, Humidity = 95 %, Pressure = 955 hPa.
Temp = 16 ◦ C, Humidity = 95 %, Pressure = 955 hPa.
Temp = 30 ◦ C, Humidity = 60 %, Pressure = 955 hPa.
Temp = 19 ◦ C, Humidity = 60 %, Pressure = 937 hPa.
Temp = 22 ◦ C, Humidity = 95 %, Pressure = 937 hPa.
Temp = 20 ◦ C, Humidity = 95 %, Pressure = 937 hPa.
Temp = 27 ◦ C, Humidity = 24 %, Pressure = 1065 hPa.
Temp = 16 ◦ C, Humidity = 24 %, Pressure = 1065 hPa.
Temp = 27 ◦ C, Humidity = 93 %, Pressure = 1065 hPa.
Temp = 30 ◦ C, Humidity = 93 %, Pressure = 1099 hPa.
Temp = 38 ◦ C, Humidity = 56 %, Pressure = 1099 hPa.
Temp = 26 ◦ C, Humidity = 56 %, Pressure = 1099 hPa.
Temp = 24 ◦ C, Humidity = 22 %, Pressure = 905 hPa.
Temp = 37 ◦ C, Humidity = 22 %, Pressure = 905 hPa.
Temp = 15 ◦ C, Humidity = 96 %, Pressure = 905 hPa.
Temp = 17 ◦ C, Humidity = 96 %, Pressure = 903 hPa.
Temp = 40 ◦ C, Humidity = 81 %, Pressure = 903 hPa.
Temp = 26 ◦ C, Humidity = 81 %, Pressure = 903 hPa.
